# P-8 corrode-fraction capture, 2026-08-30. VICE oracle, WarpMode off,
# no player input, one connection. 360s, 1868 samples, 0 dropped.
# room = $7935 (the Alien's room); damage = sum of $653F..$6562.
# 30 room changes, 4 damage -> 0.13 per action. See DISC-290.
t,room,damage
0.09,6,11
0.32,6,11
0.49,6,11
0.71,6,11
0.89,6,11
1.11,6,11
1.33,6,11
1.55,6,11
1.77,6,11
1.98,6,11
2.16,6,11
2.34,6,11
2.53,6,11
2.70,6,11
2.92,6,11
3.14,6,11
3.33,6,11
3.48,6,11
3.66,6,11
3.81,6,11
4.00,6,11
4.21,6,11
4.40,6,11
4.60,6,11
4.82,6,11
5.04,6,11
5.23,6,11
5.43,6,11
5.62,6,11
5.84,6,11
6.02,6,12
6.21,6,12
6.43,6,12
6.65,6,12
6.87,6,12
7.10,6,12
7.27,6,12
7.46,6,12
7.66,6,12
7.85,6,12
8.07,6,12
8.30,6,12
8.51,6,12
8.66,6,12
8.85,6,12
9.04,6,12
9.27,6,12
9.46,6,12
9.67,6,12
9.84,6,12
10.03,6,12
10.22,6,12
10.44,6,12
10.66,6,12
10.88,6,12
11.09,6,12
11.30,6,12
11.50,6,12
11.72,6,12
11.93,6,12
12.08,6,12
12.28,6,12
12.44,6,12
12.63,6,12
12.83,6,12
13.05,6,12
13.24,6,12
13.42,6,12
13.60,6,12
13.80,6,12
13.99,6,12
14.18,6,12
14.36,6,12
14.57,6,12
14.72,6,12
14.93,6,12
15.13,6,12
15.34,6,12
15.53,6,12
15.72,6,12
15.89,6,12
16.11,6,12
16.28,6,12
16.46,6,12
16.65,6,12
16.82,6,12
17.01,6,12
17.20,6,12
17.41,6,12
17.62,6,12
17.80,6,12
17.99,6,12
18.21,6,12
18.43,6,12
18.59,6,12
18.76,6,12
18.98,6,12
19.18,6,12
19.34,6,12
19.54,6,12
19.73,6,12
19.88,6,12
20.10,6,12
20.29,6,12
20.46,6,12
20.68,6,12
20.87,6,12
21.05,6,12
21.24,6,12
21.46,6,12
21.68,6,12
21.89,6,12
22.07,6,12
22.28,6,12
22.49,6,12
22.64,6,12
22.84,6,12
23.05,6,12
23.20,6,12
23.38,6,12
23.60,6,12
23.81,6,12
24.03,6,12
24.22,6,12
24.42,6,12
24.64,6,12
24.81,6,12
25.03,6,12
25.24,6,12
25.46,6,12
25.62,6,12
25.78,6,12
25.96,6,12
26.18,6,12
26.37,6,12
26.59,6,12
26.81,6,12
26.99,6,12
27.23,6,12
27.41,6,12
27.60,6,12
27.76,6,12
27.98,6,12
28.17,6,12
28.34,6,12
28.56,6,12
28.73,6,12
28.92,6,12
29.09,6,12
29.24,6,12
29.46,6,12
29.65,6,12
29.87,6,12
30.10,6,12
30.32,6,12
30.50,6,12
30.71,6,12
30.86,6,12
31.07,6,12
31.25,6,12
31.44,6,12
31.66,6,12
31.85,6,12
32.04,6,12
32.22,6,12
32.38,8,12
32.56,8,12
32.75,8,12
32.91,8,12
33.08,8,12
33.26,8,12
33.41,8,12
33.60,8,12
33.79,8,12
33.97,8,12
34.17,8,12
34.38,8,12
34.60,8,12
34.81,8,12
35.00,8,12
35.19,8,12
35.41,8,12
35.59,8,12
35.78,8,12
35.97,8,12
36.14,8,12
36.33,8,12
36.49,8,12
36.67,8,12
36.89,8,12
37.08,8,12
37.27,8,12
37.44,8,12
37.62,8,12
37.78,8,12
37.95,8,12
38.14,8,12
38.36,8,12
38.51,8,12
38.69,8,12
38.89,8,12
39.05,8,12
39.20,8,12
39.38,8,12
39.59,8,12
39.77,8,12
39.96,21,12
40.16,21,12
40.39,21,12
40.58,21,12
40.80,21,12
40.98,21,12
41.14,21,12
41.33,21,12
41.50,21,12
41.69,21,12
41.91,21,12
42.09,21,12
42.28,21,12
42.43,21,12
42.65,21,12
42.81,21,12
43.01,21,12
43.19,21,12
43.39,21,12
43.56,21,12
43.79,21,12
43.98,21,12
44.17,21,12
44.36,21,12
44.51,21,12
44.69,21,12
44.84,21,12
45.06,21,12
45.28,21,12
45.44,21,12
45.65,21,12
45.83,21,12
46.01,21,12
46.17,21,12
46.32,21,12
46.50,21,12
46.69,21,12
46.87,21,12
47.03,21,12
47.24,21,12
47.44,21,12
47.66,21,12
47.88,21,12
48.07,21,12
48.25,21,12
48.45,21,12
